q90,q97,alpha,beta,activation,score,integrity,agency,stability
0.8999999999999999,0.95,0.4,2.0,0.1253731343283582,0.5787354291769693,0.33562093152343947,0.7505172326790129,0.7214008174799414
0.8999999999999999,0.95,0.4,3.0,0.1253731343283582,0.579734571327648,0.33531816117474894,0.7510218499268305,0.725992834435081
0.8999999999999999,0.95,0.4,4.0,0.1253731343283582,0.579734571327648,0.3347630822021497,0.7509713882020488,0.7272039158298431
0.8999999999999999,0.95,0.45,2.0,0.1253731343283582,0.5779986879951557,0.3570671645556845,0.7160518746530756,0.743755361558258
0.8999999999999999,0.95,0.45,3.0,0.1253731343283582,0.5772720391582984,0.35656254730786696,0.7163546450017662,0.7405258111722258
0.8999999999999999,0.95,0.45,4.0,0.1253731343283582,0.5779684109602866,0.3561083917848312,0.7163546450017662,0.7449159812282384
0.8999999999999999,0.95,0.5,2.0,0.1253731343283582,0.5773426855729928,0.38194479487308874,0.6808800524801938,0.7610637331583994
0.8999999999999999,0.95,0.5,3.0,0.1253731343283582,0.5772619468133421,0.38133925417570774,0.6813846697280113,0.7608618862592723
0.8999999999999999,0.95,0.5,4.0,0.1253731343283582,0.5772821315032548,0.3810364838270172,0.6812837462784478,0.7617701973053439
0.8999999999999999,0.95,0.55,2.0,0.1253731343283582,0.5788565373164456,0.39299591260029265,0.6620578291365999,0.7841752031084422
0.8999999999999999,0.95,0.55,3.0,0.1253731343283582,0.5783721047585406,0.3931977594994197,0.6620073674118181,0.7814502699702276
0.8999999999999999,0.95,0.55,4.0,0.1253731343283582,0.5792703234596559,0.39284452742594744,0.6623101377605086,0.7860422869253672
0.8999999999999999,0.95,0.6,2.0,0.1253731343283582,0.5800171569864259,0.4088913559065449,0.6414694454256447,0.7993641822677499
0.8999999999999999,0.95,0.6,3.0,0.1253731343283582,0.5801786345057274,0.40788212141090985,0.6423272947469344,0.8004743402129485
0.8999999999999999,0.95,0.6,4.0,0.1253731343283582,0.579875864157037,0.4076802745117828,0.6421759095725892,0.7996669526164404
0.95,0.975,0.4,2.0,0.10746268656716418,0.5817631326638745,0.34490588888328205,0.7512741585507393,0.7164555684513296
0.95,0.975,0.4,3.0,0.10746268656716418,0.5823283039814301,0.34414896301155573,0.751122773376394,0.7210980471312509
0.95,0.975,0.4,4.0,0.10746268656716418,0.5823585810162991,0.343896654387647,0.7518292375233385,0.7203411212595247
0.95,0.975,0.45,2.0,0.10746268656716418,0.580683251753545,0.36680627743856287,0.7168088005248019,0.7361861028409951
0.95,0.975,0.45,3.0,0.10746268656716418,0.5806126053388505,0.3663521219155271,0.7162537215522027,0.7378513397587929
0.95,0.975,0.45,4.0,0.10746268656716418,0.5799162335368623,0.3659988898420548,0.7160518746530756,0.7354796386940505
0.95,0.975,0.5,2.0,0.10746268656716418,0.5807337134783267,0.3926426805268204,0.680224050058031,0.7579351062219306
0.95,0.975,0.5,3.0,0.10746268656716418,0.5796639249129536,0.39097744360902253,0.6799212797093405,0.7565221779280416
0.95,0.975,0.5,4.0,0.10746268656716418,0.5795226320835647,0.3918857546550941,0.6799212797093405,0.753999091688954
0.95,0.975,0.55,2.0,0.10746268656716418,0.581631932179442,0.4040470303274966,0.6610990563657466,0.7778674875107231
0.95,0.975,0.55,3.0,0.10746268656716418,0.581631932179442,0.4035928748044608,0.6607962860170561,0.7793813392541757
0.95,0.975,0.55,4.0,0.10746268656716418,0.5820457183226524,0.4034919513548973,0.6607962860170561,0.7816521168693545
0.95,0.975,0.6,2.0,0.10746268656716418,0.5834788313064542,0.41913508603724076,0.6407125195539184,0.7976989453499521
0.95,0.975,0.6,3.0,0.10746268656716418,0.5833274461321089,0.4186304687894232,0.6397537467830651,0.7998687995155674
0.95,0.975,0.6,4.0,0.10746268656716418,0.5831760609577636,0.41903416258767723,0.6400565171317556,0.7976989453499521
